URI,rdf:type,rico:hasContentOfType,rico:hasInstantiation,owl:sameAs,rdfs:label,rico:title,rdfs:comment,rdfs:seeAlso,vocab:inventoryNumber,vocab:archivalReferenceCode
<http://data.qdmtl.ca/record/VM094-C196-0037>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0037/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0037/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0037>,"""VM094-C196-0037""","""VM094-C196-0037""",,,"""9""","""VM094-C196-0037"""
<http://data.qdmtl.ca/record/VM094-C196-0038>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0038/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0038/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0038>,"""VM094-C196-0038""","""VM094-C196-0038""",,,"""9""","""VM094-C196-0038"""
<http://data.qdmtl.ca/record/VM094-C196-0039>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0039/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0039/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0039>,"""VM094-C196-0039""","""VM094-C196-0039""",,,"""9""","""VM094-C196-0039"""
<http://data.qdmtl.ca/record/VM094-C196-0040>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0040/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0040/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0040>,"""VM094-C196-0040""","""VM094-C196-0040""",,,"""9""","""VM094-C196-0040"""
<http://data.qdmtl.ca/record/VM094-C196-0041>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0041/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0041/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0041>,"""VM094-C196-0041""","""VM094-C196-0041""",,,"""9""","""VM094-C196-0041"""
<http://data.qdmtl.ca/record/VM094-C196-0042>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0042/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0042/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0042>,"""VM094-C196-0042""","""VM094-C196-0042""",,,"""9""","""VM094-C196-0042"""
<http://data.qdmtl.ca/record/VM094-C196-0043>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0043/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0043/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0043>,"""VM094-C196-0043""","""VM094-C196-0043""",,,"""9""","""VM094-C196-0043"""
<http://data.qdmtl.ca/record/VM094-C196-0044>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0044/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0044/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0044>,"""VM094-C196-0044""","""VM094-C196-0044""",,,"""9""","""VM094-C196-0044"""
<http://data.qdmtl.ca/record/VM094-C196-0045>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0045/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0045/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0045>,"""VM094-C196-0045""","""VM094-C196-0045""",,,"""9""","""VM094-C196-0045"""
<http://data.qdmtl.ca/record/VM094-C196-0046>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0046/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0046/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0046>,"""VM094-C196-0046""","""VM094-C196-0046""",,,"""9""","""VM094-C196-0046"""
<http://data.qdmtl.ca/record/VM094-C196-0047>,rico:Record,vocab:photographicImage,"<http://data.qdmtl.ca/record/VM094-C196-0047/i/01> , <http://data.qdmtl.ca/record/VM094-C196-0047/i/02>",<https://archivesdemontreal.ica-atom.org/vm094-c196-0047>,"""VM094-C196-0047""","""VM094-C196-0047""",,,"""9""","""VM094-C196-0047"""
